,inference_time,distortion_lvl,distortion_type,p_tar
120,0.1793451309204101,,,
121,0.1875157356262207,,,
122,0.2005467414855957,,,
123,0.1955080032348632,,,
124,0.1845204830169677,,,
125,0.1865260601043701,,,
126,0.1823790073394775,,,
127,0.19669771194458,,,
128,0.202073335647583,,,
129,0.1711955070495605,,,
130,0.1755104064941406,,,
131,0.1918890476226806,,,
132,0.1987614631652832,,,
133,0.2229080200195312,,,
134,0.1871440410614013,,,
135,0.1913347244262695,,,
136,0.1891481876373291,,,
137,0.2021229267120361,,,
138,0.227163553237915,,,
139,0.1818337440490722,,,
140,0.1842279434204101,,,
141,0.1879031658172607,,,
142,0.17657470703125,,,
143,0.1908783912658691,,,
144,0.1996111869812011,,,
145,0.1972858905792236,,,
146,0.1901693344116211,,,
147,0.2019109725952148,,,
148,0.1697845458984375,,,
149,0.1880958080291748,,,
150,0.1990809440612793,,,
151,0.1907238960266113,,,
152,0.1840612888336181,,,
153,0.1817460060119629,,,
154,0.1830067634582519,,,
155,0.1901795864105224,,,
156,0.1870007514953613,,,
157,0.1882867813110351,,,
158,0.1905093193054199,,,
159,0.1951503753662109,,,
160,0.2191479206085205,,,
161,0.2116477489471435,,,
162,0.2177150249481201,,,
163,0.2118241786956787,,,
164,0.2087893486022949,,,
165,0.215867280960083,,,
166,0.1939342021942138,,,
167,0.2019164562225341,,,
168,0.1954436302185058,,,
169,0.2013735771179199,,,
170,0.2142441272735595,,,
171,0.1992051601409912,,,
172,0.234382152557373,,,
173,0.1953935623168945,,,
174,0.2212910652160644,,,
175,0.2222375869750976,,,
176,0.2159128189086914,,,
177,0.2058334350585937,,,
178,0.2271592617034912,,,
179,0.1832869052886963,,,
180,0.1895477771759033,,,
181,0.2098414897918701,,,
182,0.21999192237854,,,
183,0.2296643257141113,,,
184,0.2049047946929931,,,
185,0.2655932903289795,0.0,pristine,0.7
186,0.2343201637268066,0.0,pristine,0.7
187,0.3281269073486328,0.0,pristine,0.7
188,0.2140002250671386,0.0,pristine,0.7
189,0.2940006256103515,0.0,pristine,0.7
190,0.2690005302429199,0.0,pristine,0.7
191,0.2909951210021972,0.0,pristine,0.7
192,0.2930006980895996,0.0,gaussian_blur,0.7
193,0.2940008640289306,0.0,pristine,0.7
194,0.301999568939209,0.0,pristine,0.7
195,0.2629985809326172,0.0,pristine,0.7
196,0.3210005760192871,0.0,pristine,0.7
197,0.3079993724822998,0.0,pristine,0.7
198,0.3209998607635498,0.0,pristine,0.7
199,0.3010017871856689,0.0,pristine,0.7
200,0.396000862121582,0.0,pristine,0.7
201,0.3560001850128174,0.0,pristine,0.7
202,0.4080028533935547,0.0,pristine,0.7
203,0.4160041809082031,0.0,pristine,0.7
204,0.3970000743865967,0.0,pristine,0.7
205,0.3850023746490478,0.0,pristine,0.7
206,0.4700028896331787,0.0,pristine,0.7
207,0.3450360298156738,0.0,pristine,0.7
208,0.3889303207397461,0.0,pristine,0.7
209,0.4283595085144043,0.0,pristine,0.7
210,0.3551006317138672,0.0,pristine,0.7
211,0.3906261920928955,0.0,pristine,0.7
212,0.4062471389770508,0.0,pristine,0.7
213,0.3593714237213135,0.0,pristine,0.7
214,0.4062519073486328,0.0,pristine,0.7
215,0.4218738079071045,0.0,pristine,0.7
216,0.3906216621398926,0.0,pristine,0.7
217,0.4218711853027344,0.0,pristine,0.7
218,0.4374964237213135,0.0,pristine,0.7
219,0.3437461853027344,0.0,pristine,0.7
220,0.3593776226043701,0.0,pristine,0.7
